formula,fitness
Jaccard,6.89040707401983
Ochiai,14.910811158264364
Tarntula,16.66809069339939
AMPLE,7.507216338403751
Wong1,12.12865326589674
Wong2,11.239341702993473
Wong3,8.237607326663353
Op1,9.626975828093421
Op2,6.666951261032869
