gp1,2996972,2542686,3665898,4343600,3671396,1997974,1823122,3241504,2171354,854713,1792970,413118,3282036,3134461,3355753,3464790,3126974,3608973,2448133,2854015,2070422,525460,3252726,60564,2235250,3240802,3740526,75104,2031772,90456,560278,114954,0,3362593,3353754,880048,3244064,0,102104
gp2,3350836,2796568,4021104,4709442,4026602,1877664,2106614,3598272,2111062,681137,2123354,235020,3138942,3490241,3172177,3295034,3484498,3438179,2271391,3213539,2427420,884086,3608094,417474,2590354,3597570,4095762,298616,2387656,435790,797402,343070,369426,3449845,3687342,701586,3593246,369426,464180
gp3,3053646,2490640,3722572,4399612,3728070,2054636,1880162,3298178,2094696,884981,1849644,489896,3340870,3191135,3432411,3523494,3185322,3669069,2480075,2930257,2100690,567756,3309400,139406,2265518,3297476,3797200,42196,2108430,169298,483620,85184,78842,3419267,3410428,958890,3300738,78842,180826
gp4,3364352,2809376,4034574,4717404,4039512,1929662,2114582,3612962,2111182,623613,2131096,205590,3133768,3495299,3174821,3268038,3502122,3411225,2234061,3230275,2440280,900810,3623204,434510,2603482,3612260,4109280,313282,2404014,445494,809148,356014,386432,3457871,3699362,757358,3596384,386432,478346
gp5,2704169,3740023,2394637,3181733,2392869,3604913,3237763,2908349,3383473,2734730,2187963,2804197,2884763,2707882,2438254,3071337,2753349,2778872,2698992,2255802,1321849,2277509,2624141,2490043,1806207,2776963,2426323,2591739,2876607,2568269,2642165,2611569,2538861,2828966,2812107,3126079,2766835,2538861,2497705
gp6,3472961,2531471,3717377,4244357,3721585,2356307,2060507,3703659,2290239,1435050,2176723,1016557,3745325,3578634,3811522,3905989,3576423,4065890,2972326,3320264,2612457,1113179,3678609,683773,2721033,3702975,3791445,688025,2486961,616193,1158967,707267,624399,3497974,3784695,1452751,3667659,624399,675503
gp7,3395070,2934152,4057924,4728446,4062534,1906352,2126510,3639542,2230308,636231,2105730,13788,3073934,3484849,2999851,3181756,3522936,3319333,2176469,3195741,2468964,919114,3650764,341102,2632978,3638840,4132600,461056,2321444,404044,956438,419184,400186,3481861,3666812,762510,3596000,400186,365628
gp8,2995284,2542686,3665898,4343600,3671396,1999580,1822926,3243206,2171442,856657,1793596,415062,3282504,3135521,3357455,3466492,3128676,3610675,2448689,2855717,2072480,527566,3252958,61190,2235502,3242504,3740526,74032,2033074,91014,561952,116888,2166,3362613,3355224,880604,3244004,2166,103378
gp9,3365250,2911840,4033074,4704894,4037964,1913196,2102200,3609722,2233470,602045,2135586,66892,3122962,3492129,3050207,3236916,3493116,3371679,2229583,3162669,2435868,886212,3620944,313192,2600848,3609020,4107750,435042,2289218,435728,930512,449720,371586,3459189,3696128,765532,3602650,371586,373668
gp10,3056766,2493868,3725692,4403394,3731190,2057768,1882916,3301298,2122536,914507,1852764,461936,3341812,3194255,3404571,3524566,3186750,3668689,2507909,2908033,2130216,585176,3312520,109382,2295044,3300596,3800320,15310,2080590,150250,511460,55160,59794,3422387,3413548,939842,3303858,59794,156122
gp11,2996972,2542686,3665898,4343600,3671396,1997974,1823122,3241504,2171354,854713,1792970,413118,3282036,3134461,3355753,3464790,3126974,3608973,2448133,2854015,2070422,525460,3252726,60564,2235250,3240802,3740526,75104,2031772,90456,560278,114954,0,3362593,3353754,880048,3244064,0,102104
gp12,3053634,2605542,3724520,4394282,3730018,2050390,1873658,3301224,2249960,909567,1854222,354982,3334954,3193965,3300719,3519520,3184212,3654639,2501733,2845503,2124332,579798,3311612,20454,2288194,3300522,3799148,142602,1969924,165926,640146,184246,80532,3422115,3413210,958922,3302642,80532,80748
gp13,2996972,2542686,3665898,4343600,3671396,1997974,1823122,3241504,2171354,854713,1792970,413118,3282036,3134461,3355753,3464790,3126974,3608973,2448133,2854015,2070422,525460,3252726,60564,2235250,3240802,3740526,75104,2031772,90456,560278,114954,0,3362593,3353754,880048,3244064,0,102104
gp14,3054134,2603040,3726252,4403954,3731750,2060806,1883344,3304368,2231732,917591,1853504,357098,3341006,3196367,3319473,3523070,3187762,3660647,2506383,2860567,2133402,581952,3313420,2460,2295944,3303666,3800880,122496,1985888,151256,622870,166662,63024,3422947,3416278,939510,3304950,63024,67384
gp15,3055420,2602480,3725692,4403394,3731190,2059168,1882916,3302698,2231148,915847,1853744,355354,3341362,3194885,3317803,3521400,3186092,3658977,2506715,2858897,2131616,580122,3312520,630,2295044,3301996,3800320,122522,1984354,151170,621412,165172,61194,3422387,3414948,939842,3303858,61194,66122
gp16,3056558,2611742,3725484,4401046,3730982,2056982,1882130,3301090,2241000,904127,1852636,344628,3340324,3194047,3305889,3519712,3184404,3654543,2497001,2850531,2119836,574330,3312312,11728,2285366,3300388,3800112,133774,1976674,160102,629924,173624,69646,3422191,3413340,949028,3303650,69646,74544
gp17,4574428,4020688,3988104,2673654,3983522,5174320,5162032,4230568,5133918,5767259,5699032,5755744,4435752,4439331,4190655,4230220,4230220,4274717,5435241,4395877,5050258,5755774,4303714,5755744,4549322,4253930,3814106,5755744,4842800,5695964,5711972,5755744,5695950,4756229,4226606,5655290,4306076,5695950,5744538
gp18,3056766,2611962,3725692,4401832,3731190,2057768,1882916,3301298,2240630,903919,1852764,344258,3341110,3194255,3306675,3520000,3184692,3654763,2497101,2851317,2119628,574538,3312520,11358,2285430,3300596,3800320,133404,1977460,159732,629554,173254,69276,3422387,3413548,949324,3303858,69276,74738
gp19,2987208,2528236,3663276,4318430,3668774,2016878,1836372,3243124,2182874,972871,1880552,537658,3270600,3136107,3350353,3452462,3114420,3615003,2448713,2849453,2091764,647096,3252308,189552,2342212,3242628,3737504,180130,2035176,209096,619166,243616,130528,3350407,3354946,940092,3242224,130528,228064
gp20,3056766,2602480,3725692,4403394,3731190,2057768,1882916,3301298,2231148,914507,1852764,354014,3341362,3194255,3316403,3520000,3184692,3657577,2506715,2857497,2130216,578782,3312520,770,2295044,3300596,3800320,123922,1982954,150250,620072,163772,59794,3422387,3413548,939842,3303858,59794,64722
gp21,3056766,2602480,3725692,4403394,3731190,2057768,1882916,3301298,2231148,914507,1852764,354014,3341362,3194255,3316403,3520000,3184692,3657577,2506715,2857497,2130216,578782,3312520,770,2295044,3300596,3800320,123922,1982954,150250,620072,163772,59794,3422387,3413548,939842,3303858,59794,64722
gp22,3056766,2602480,3725692,4403394,3731190,2057768,1882916,3301298,2231148,914507,1852764,354014,3341362,3194255,3316403,3520000,3184692,3657577,2506715,2857497,2130216,578782,3312520,770,2295044,3300596,3800320,123922,1982954,150250,620072,163772,59794,3422387,3413548,939842,3303858,59794,64722
gp23,2996972,2542686,3665898,4343600,3671396,1997974,1823122,3241504,2171354,854713,1792970,413118,3282036,3134461,3355753,3464790,3126974,3608973,2448133,2854015,2070422,525460,3252726,60564,2235250,3240802,3740526,75104,2031772,90456,560278,114954,0,3362593,3353754,880048,3244064,0,102104
gp24,3054134,2603040,3726252,4403954,3731750,2060806,1883344,3304368,2231732,917591,1853504,357098,3341006,3196367,3319473,3523070,3187762,3660647,2506383,2860567,2133402,581952,3313420,2460,2295944,3303666,3800880,122496,1985888,151256,622870,166662,63024,3422947,3416278,939510,3304950,63024,67384
gp25,3359384,2905204,4028080,4701346,4033050,1915216,2098706,3603826,2229772,617657,2130912,81734,3135048,3491961,3066669,3250422,3487220,3387999,2244563,3160025,2433178,884188,3615048,306176,2597262,3603124,4102756,424480,2285728,430140,920962,444248,365260,3453311,3691086,761642,3597662,365260,367732
gp26,3056766,2602480,3725692,4403394,3731190,2057768,1882916,3301298,2231148,914507,1852764,354014,3341362,3194255,3316403,3520000,3184692,3657577,2506715,2857497,2130216,578782,3312520,770,2295044,3300596,3800320,123922,1982954,150250,620072,163772,59794,3422387,3413548,939842,3303858,59794,64722
