gp1,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp2,837842,961274,400092,820335,673554,1044741,409838,879286,1148972,1084346,1153868,740244,803281,803959,501496,383326,394366,326079,309092,579488,397796,670106,423136,445160,670206,520520,431962,407916,621706,695607,632660,879286,677978,879286,728334,677978,520520,677978,465710
gp3,1433021,713785,1291825,503258,1020799,669706,1337661,461953,1517525,1011929,700147,1433021,750898,785804,1136067,1107105,1291825,1238242,1256859,1189563,1291825,967907,1284111,1249947,966321,1189563,1270383,1291825,952619,886646,1240115,461953,889319,459179,908193,889319,1187461,889319,1276019
gp4,828710,944574,491784,850145,765598,1016329,456508,865416,1234170,1084944,1132388,783304,782597,782873,417184,298212,486996,240965,395104,536988,483594,741594,471250,491424,740884,441984,479948,474848,607836,681713,590844,865416,664086,865416,714436,664086,441984,664086,387580
gp5,510398,919902,632638,902321,813480,852001,734726,916738,634054,1193840,1203538,508694,955495,934435,907404,785590,632638,806717,888252,670102,632638,788350,635760,648694,787632,670102,641112,632638,418768,754007,625280,916738,753168,916738,770400,753168,670102,753168,756580
gp6,1023188,694718,674554,640215,145320,593315,558662,643882,1110924,888554,910076,1024892,864143,882155,885622,765700,674554,676077,872032,643882,674554,60550,668590,643882,58128,643882,658366,674554,392548,99733,657562,643882,58128,647338,0,58128,646666,58128,557500
gp7,721484,915224,15964,797959,601718,1084343,142238,837828,1079766,1400794,1423598,612432,988297,1069007,761214,467352,10238,438737,573572,253940,6836,615574,24496,71228,616426,187484,43546,3312,357026,697041,235544,837828,657322,837828,674554,657322,187484,657322,239858
gp8,1025444,655310,657322,604551,203448,591059,560918,585754,1113180,872162,892812,1027148,825503,854267,857734,707572,657322,618565,844144,585754,657322,118678,651358,626650,116256,585754,641134,657322,334420,44027,640330,585754,0,589210,58128,0,588538,0,499372
gp9,121870,1407814,607348,1367429,934192,1231649,596640,1418274,466618,1131002,1243788,28384,1112447,1092629,797888,870208,602910,751203,649062,859600,606340,963802,637644,684376,965060,800632,656694,616460,921498,1026069,841204,1418274,1025444,1418274,1023188,1025444,800632,1025444,714154
gp10,1390914,506084,777444,53983,672946,867237,819892,116256,1448186,1180542,1123028,1348842,621865,718203,1033090,855268,777444,954669,996718,788028,777444,588176,768638,732156,585754,788028,753542,777444,542188,651777,845446,116256,608218,119712,643882,608218,790812,608218,874602
