gp1,431635,1065309,1065309,979409
gp2,1274014,668818,681188,840172
gp3,1306734,1435760,1435760,1354638
gp4,1270428,707186,695768,711382
gp5,796717,599319,599319,655923
gp6,359011,1097037,1097037,1051937
gp7,1279566,9394,3016,279502
gp8,431635,1065309,1065309,979409
gp9,1216560,53612,66018,342484
gp10,1410892,1210690,1210690,1214118
gp11,431635,1065309,1065309,979409
gp12,1247660,104044,91870,273968
gp13,431635,1065309,1065309,979409
gp14,1270172,0,12406,288894
gp15,1291894,21722,9316,267174
gp16,1209265,60907,73313,349777
gp17,1407772,137790,125384,151254
gp18,1206576,63596,76002,352466
gp19,423436,1070100,1070100,988226
gp20,1390444,265520,253114,23624
gp21,1270174,2,12404,288892
gp22,1282128,11956,454,276940
gp23,431635,1065309,1065309,979409
gp24,1270172,0,12406,288894
gp25,1270080,98,12500,288892
gp26,1282128,11956,454,276940
gp27,1347912,77740,65334,211154
gp28,431635,1065309,1065309,979409
gp29,431635,1065309,1065309,979409
gp30,1214257,55915,68321,344785
jaccard,431635,1065309,1065309,979409
ochiai,796717,599319,599319,655923
tarantula,796717,599319,599319,655923
ample,1326303,1230819,1230819,1257319
wong1,433031,1080529,1080529,994629
wong2,1209265,60907,73313,349777
wong3,1311832,200720,188314,164004
op1,431635,1065309,1065309,979409
op2,1410892,285968,273562,3176
